id;grupo;tipo;valor_inicial;valor_final;mensagem
1;1;baixo;0;1;Pessoa participativa, que resolve problemas e dificuldades preventivamente, criando um clima de otimismo e produtividade à sua volta. Com isso, agiliza seu tempo detectando um problema em seu início. Trabalha a causa, buscando evitar a repetição. 
2;1;intermediario;2;3;Pessoa com adequada capacidade de resolver problemas de forma preventiva. Por vezes pode buscar a prevenção e em outras pode ficar apagando incêndio. É necessário ficar atento(a) e buscar trabalhar de forma mais preventiva do que corretiva.
3;1;alto;4;6;Pessoa essencialmente reativa. Está sempre ocupada resolvendo problemas e dificuldades de última hora, criando um clima de estresse e baixa produtividade à sua volta. Trabalha muito, causa muito movimento, ocasiona muito desperdício de tempo e recursos e pode obter poucos resultados. Esta tendência pode ser causada por uma necessidade de provar a si mesmo sua capacidade de “quebrar galhos”, de ser indispensável, de não tomar medidas preventivas para evitar a ocorrência de problemas.
4;2;baixo;0;1;Apresenta boa concentração, mantendo seu pensamento num único assunto ou tarefa, com disciplina, sem permitir que esse se desvie para outras coisas, podendo trabalhar em ambiente isolado ou movimentado sem maiores dificuldades, pois não se dispersará. Consequentemente isto gera aumento de produtividade, clareza de objetivo, otimização do tempo, respostas melhores e eficiência na entrega de tarefas e resultados. 
5;2;intermediario;2;3;Sua capacidade de se concentrar, mantendo seu pensamento num único assunto, com disciplina, sem permitir que esse se desvie para outras coisas, está razoável, pois necessita que você busque meios para minimizar sua dispersão. Procure se desligar do que está acontecendo à sua volta e se concentrar mais em seu trabalho/atividade. Poderá não ter o aumento de produtividade necessário, e a não otimização do tempo, na entrega de tarefas e resultados. Esse tipo de atitude não é nativo da maioria das pessoas, por isso é importante estar atento(a).
6;2;alto;4;6;Pessoa com tendência à dispersão, dificuldade de concentração e necessidade de isolamento para trabalhar. Perde o interesse do que está fazendo facilmente, mesmo que seja a movimentação das pessoas à sua volta. Ao ser interrompido em meio a um trabalho necessita de um reaquecimento para voltar a se concentrar, pois não mantém seu pensamento em um único assunto, com disciplina, sem permitir que esse se desvie para outras coisas. Consequentemente isto gera queda de produtividade, pouca, ou nenhuma, otimização do tempo, comprometendo na entrega de tarefas e resultados. Esse tipo de atitude não é nativo da maioria das pessoas, por isso é importante estar atento(a).
7;3;baixo;0;1;Pessoa com bom nível de assertividade, que se refere à capacidade de ter confiança em si mesmo para poder dizer não, sempre que for necessário. A pessoa que tem facilidade em dizer NÃO sabe colocar limites e prioriza seus trabalhos, criando oportunidades para si, para os outros e para a empresa. Saber dizer “não” significa conhecer e respeitar os próprios limites e, mais do que isso, fazer com que os OUTROS reconheçam e respeitem esses limites.
8;3;intermediario;2;3;Observe seu nível de assertividade (que se refere à capacidade de ter confiança em si mesmo para poder dizer não, sempre que for necessário), pois o mesmo se apresenta acima do esperado, com certa necessidade de aceitação e preocupação em agradar os outros. Por apresentar alguma dificuldade em dizer NÃO, poderá desrespeitar suas prioridades no trabalho, criando dificuldades para si, para os outros e para a empresa. Por ter dificuldade em dizer “não” pouco conhece e respeita os próprios limites e, mais do que isso, faz com que os OUTROS pouco reconheçam e respeitem esses limites.
9;3;alto;4;6;Pessoa que indica baixo nível de assertividade (se refere à capacidade de ter confiança em si mesmo para poder dizer não, sempre que for necessário), com elevada necessidade de aceitação e preocupação constante em agradar os outros. A pessoa que tem dificuldade em dizer NÃO acaba desrespeitando suas prioridades no trabalho, criando dificuldades para si, para os outros e para a empresa. Não saber dizer “não” significa não conhecer e respeitar os próprios limites e, mais do que isso, fazer com que os OUTROS não reconheçam e respeitem esses limites.
10;4;baixo;0;1;Revela facilidade em transmitir ideias, instruções, informações ou orientações de forma clara, objetiva e concisa. Percebe-se ser assertivo(a), utilizando de linguagem adequada, com informações completas, o que otimiza seu tempo. Demonstra facilidade em expressar os sentimentos, pensamentos, e obter respostas, ou seja, de se relacionar com o meio.
11;4;intermediario;2;3;Apresenta relativa facilidade em expressar suas ideias e em transmitir instruções, informações ou orientações de forma clara e objetiva. É necessário ser mais assertivo(a) e objetivo(a), sabendo utilizar de uma linguagem mais adequada, buscando as informações completas antes de repassá-las. Leia mais e procure observar sempre qual a reação do outro diante de um comunicado seu. Pergunte a ele(ela) o que não ficou claro e refaça suas colocações aprimorando sua linha de raciocínio.
12;4;alto;4;6;Revela dificuldade em transmitir ideias, instruções, informações ou orientações de forma clara, objetiva e concisa.  Denota dificuldade em expressar os sentimentos, pensamentos, e obter respostas, comprometendo seu relacionamento com o meio. As causas mais comuns são relacionadas com a falta de assertividade, timidez, prolixidade, utilização de linguagem inadequada, informações incompletas, dificuldade de expressão entre outras.
13;5;baixo;0;1;Revela tendência à descentralização, confiando na capacidade das pessoas, demonstrando segurança pessoal, e não havendo necessidade de sentir-se importante e indispensável. Ao fazer uso da delegação, você usa bem o seu tempo e otimiza o tempo dos seus colaboradores, além de alavancar o fluxo dos trabalhos, das decisões e da resolução de problemas na empresa.
14;5;intermediario;2;3;Foi identificado certo grau de centralização, talvez por não se sentir seguro(a) o suficiente para delegar. Quando trabalha com alguém que demonstra ser de confiança (talvez por fazer do seu jeito), você tende a entregar a ele(a) a execução de alguma tarefa, confiante nos resultados que virão. Observe que, se treinar outras pessoas ou permitir que elas façam as atividades a seu modo, poderá descobrir talentos adormecidos. Ao delegar, tem mais tempo para cuidar de suas atribuições.
15;5;alto;4;6;Revela tendência à centralização por falta de confiança na capacidade das pessoas, insegurança pessoal, ou necessidade de se sentir indispensável. Por ter dificuldade em delegar, usa mal o seu tempo e provoca desperdício de tempo de outras pessoas, além de atravancar o fluxo dos trabalhos, das decisões e da resolução de problemas, seja na empresa ou não. As causas mais comuns da dificuldade em delegar são: preferência pessoal pela execução de tarefas, falta de experiência profissional, insegurança pessoal/profissional, falta de confiança nos demais, perfeccionismo, incapacidade de comunicação, medo de competição, temor de ser considerado incompetente e/ou necessidade de estar sempre em atividade.
16;6;baixo;0;1;Indica capacidade de diagnosticar problemas, ao manter contato direto com a realidade, conseguindo reconhecer a causa e as consequências dos mesmos. Apresenta uma visão mais ampla, clara e precisa sobre diversos aspectos que envolvem o problema/atividade. Trata-se de um procedimento que tem como objetivo evidenciar problemas e oportunidades, além de permitir que tome decisões estratégicas mais assertivas.
17;6;intermediario;2;3;Para que possa diagnosticar melhor os problemas, é preciso ter uma visão mais aguçada entre reconhecer o que causou o problema e as consequências dele. É necessário ter uma visão mais ampla, clara e precisa sobre diversos aspectos que envolvem o problema/atividade. Analise melhor cada problema focando na causa e buscando o maior número de informações para subsidiar sua diagnose.
18;6;alto;4;6;Pessoa tende a ter contato diminuído com a realidade, baixa capacidade de observação e de estabelecer relações entre causa e efeito. Demonstra falta de visão mais ampla, clara e precisa sobre diversos aspectos que envolvem o problema/atividade.
19;7;baixo;0;1;"Parece ser pessoa que sabe focalizar objetivos e resultados, tendo conhecimento das tarefas e atividades importantes para alcançá-los. Acaba por ter um tempo bem administrado sabendo separar as atividades secundárias das necessárias. Parece estabelecer prioridades a partir do exercício do pensamento crítico sabendo dividir em três categorias: problemas urgentes; problemas que demandam intervenções; e problemas de importância secundária."
20;7;intermediario;2;3;"Sabe focalizar objetivos e resultados, porém pode não ter o conhecimento necessário das tarefas e atividades importantes para alcançá-los, ou vice versa. É importante que saiba reconhecer a diferença entre as atividades urgentes das prioritárias. Exercite mais seu pensamento crítico e divida as prioridades em três categorias: problemas urgentes; problemas que demandam intervenções; e problemas de importância secundária."
21;7;alto;4;6;"Revela dificuldade de focalizar resultados e objetivos, bem como as tarefas e atividades de fundamental importância para alcançá-los. Ao não priorizar as suas atividades, poderá perder um tempo precioso em atividades secundárias que, embora absorvam o tempo, em nada contribuem para produzir resultados. Falta estabelecer os prazos necessários para desenvolver suas tarefas. Precisa exercitar seu pensamento crítico para poder dividir as prioridades em três categorias: problemas urgentes; problemas que demandam intervenções; e problemas de importância secundária."
22;8;baixo;0;1;Tem flexibilidade no trabalho, dando assim indícios de ser pessoa adaptável às condições mutantes deste, sabendo criar opções para situações imprevistas. Tem facilidade para mudar de opinião ou de ponto de vista quando percebe que está equivocado(a). Significa estar aberto(a) a novas ideias e apto(a) a responder prontamente por mudanças que, somada à iniciativa, promove inovação em métodos, processos, soluções e produtos.
23;8;intermediario;2;3;Parece ter consciência de que em alguns momentos é inflexível, porém é necessário que comece a rever seus posicionamentos, pois poderá ter dificuldades de se adaptar às mudanças constantes no dia a dia. É importante estar aberto(a) a novas ideias e apto(a) a responder prontamente por mudanças. 
24;8;alto;4;6;Demonstra ter dificuldade em aceitar que está errado(a), mudar de opinião ou ponto de vista, podendo ser considerado(a) muitas vezes como intransigente ou “cabeça-dura”. Poderá ter dificuldades em encontrar alternativas para alterações inesperadas. É fundamental estar aberto(a) a novas ideias e apto(a) a responder prontamente por mudanças. 
25;9;baixo;0;1;Possui habilidade de argumentação para obter a adesão e cooperação das pessoas para atingir os objetivos esperados. Constrói uma rede de relacionamento, dentro e fora da empresa, de modo a facilitar o processo de negociação. Apresenta capacidade de persuasão e poder de convencimento, sabendo se posicionar, e reconhecer qual o limite certo para avançar ou recuar em uma negociação. Também demonstra habilidade para convencer ou conquistar, com capacidade de expressar e de ouvir o outro, buscando equilíbrio de soluções satisfatórias nas propostas apresentadas pelas partes.
26;9;intermediario;2;3;"Possui razoável habilidade de argumentação, com reservas para obter a adesão e cooperação das pessoas para atingir os objetivos esperados. Necessita construir uma rede de relacionamento, dentro e fora da empresa, para facilitar o processo de negociação. Há uma satisfatória capacidade de persuasão e poder de convencimento, necessitando se posicionar, e reconhecer qual o limite certo para avançar ou recuar em uma negociação. O teste revela razoável habilidade para convencer ou conquistar, com adequada capacidade de expressar e de ouvir o outro; é importante manter o equilíbrio para a busca de soluções."
27;9;alto;4;6;Apresenta dificuldade de argumentação, com limitações para obter a adesão e cooperação das pessoas para atingir os objetivos esperados. Também surgem dificuldades de persuasão e poder de convencimento, não sabendo se posicionar, e/ou reconhecer qual o limite certo para avançar ou recuar em uma negociação. Demonstra poucos conhecimentos das técnicas de negociação, não se expressando com clareza, nem tão pouco conseguindo persuadir os outros com assertividade.
28;10;baixo;0;1;Apresenta objetivos definidos de vida, com ideias claras do que pretende realizar, sem receio de comprometer-se consigo mesmo(a). Ao traçar os objetivos profissionais e pessoais exercita a visão sobre si mesmo(a) no presente e de como vê a vida, sonhos e projetos para o futuro.
29;10;intermediario;2;3;Parece ter consciência de que precisa definir melhor seus objetivos pessoais, porém, é necessário que comece a elucidar suas prioridades de vida com mais segurança. É importante não ter receio de comprometer-se consigo mesmo(a). Traçar melhor os objetivos profissionais e pessoais como uma forma de exercitar a visão sobre si mesmo(a) no presente e de como vê sua vida, sonhos e projetos para o futuro, é fundamental.
30;10;alto;4;6;Parece não ter seus objetivos de vida definidos, faltando uma ideia clara do que pretende realizar. Não ter receio de ousar estabelecer objetivos, de optar/estabelecer prioridades de vida, ou medo de comprometer-se consigo mesmo é vital. É importante traçar seus objetivos profissionais e pessoais como forma de exercitar sua visão sobre si mesmo(a) no presente e de como vê sua vida, sonhos e projetos para o futuro. 
31;11;baixo;0;1;Apresenta ser organizado(a) e disciplinado(a). Denota facilidade no cumprimento de horários e prazos, não esquecendo ou confundindo compromissos, sendo assim bastante produtivo(a). Demonstra ter habilidade de aderir a ações, pensamentos e comportamentos que resultem em crescimento pessoal. 
32;11;intermediario;2;3;A organização pessoal não é seu forte, podendo ter razoável autodisciplina. Pode, às vezes, esquecer algum horário de reunião ou compromisso (até mesmo em questões pessoais, como dentista ou médico).  Demonstra ter razoável habilidade de aderir a ações, pensamentos e comportamentos que resultem em crescimento pessoal. Pode ter um potencial enorme, mas terá dificuldade de atingir seus objetivos. É importante focar no desenvolvimento de sua disciplina e organização para obter melhores resultados, inclusive na administração do tempo.
33;11;alto;4;6;Percebe-se ser pessoa desorganizada e pouco disciplinada, apresentando dificuldades no cumprimento de horários e prazos, denotando esquecimento ou confundindo compromissos. Podendo perder documentos, objetos, trabalhando por impulso, sendo pouco produtivo(a), instável e confuso(a). Demonstra não ter muita habilidade de aderir a ações, pensamentos e comportamentos que resultem em crescimento pessoal. Uma pessoa sem disciplina pode ter um potencial enorme, mas terá dificuldade de atingir seus objetivos.
34;12;baixo;0;1;Pessoa sem tendência a dar importância a detalhes irrelevantes, sabendo até onde pode exigir de si mesmo e do outro. Tem facilidade de elogiar as pessoas e reconhecer o seu trabalho, criando um clima de constante motivação entre os membros da equipe. Sabe distinguir entre o supérfluo e o necessário. Sabe que a resposta para lidar com a busca pela perfeição é o equilíbrio.
35;12;intermediario;2;3;Foi identificado certo grau de perfeccionismo, podendo vir a eventualmente se deter em detalhes irrelevantes, com tendência a ser exigente consigo mesmo(a) e com os outros. Pode ter alguma dificuldade de elogiar as pessoas e/ou reconhecer o seu trabalho, o que tende a criar um clima de descontentamento entre os membros da equipe. Para lidar com a busca pela perfeição é importante ter equilíbrio.
36;12;alto;4;6;"Revela um grau de perfeccionismo acentuado, podendo vir a frequentemente se deter em detalhes irrelevantes, tendo foco em buscar erros e defeitos. É possível que seja uma pessoa rigorosa, exigente consigo mesmo(a) e que busque a excelência no que faz; que consegue manter o foco em suas atividades pelo tempo suficiente para entregar um resultado mais do que satisfatório e, de preferência, sem erros. Este comportamento levará as pessoas a se sentirem muito incomodadas com suas exigências. Para manter esse padrão de excelência, é preciso ser organizado(a) também. O grande problema é quando essas características vêm acompanhadas da cobrança exagerada e da autocrítica desmedida. A resposta para lidar com a busca pela perfeição é o equilíbrio. Evite rever o trabalho de demais e cuidado para não achar que só você sabe fazer bem feito!"
37;13;baixo;0;1;Revela facilidade de distribuir o tempo pelas várias atividades de seu trabalho, bem como prever o tempo necessário para cada uma delas. Demonstra cumprir seus compromissos dimensionando adequadamente o tempo necessário para a execução de suas atividades. Sabe planejar o tempo sistematizando prioridades que levam a resultados mais satisfatórios em sua vida pessoal, familiar, social e profisional.
38;13;intermediario;2;3;Revela adequada capacidade de planejar o tempo, necessitando porém, dimensionar melhor suas atividades diárias, evitando atrasos e/ou problemas. Saber planejar melhor o tempo sistematizando prioridades, levam a resultados mais satisfatórios em sua vida pessoal, familiar, social e profisional. 
39;13;alto;4;6;Revela dificuldade de distribuir o tempo pelas várias atividades de seu trabalho, bem como prever o tempo necessário para cada uma delas. Em geral, pode não cumprir seus compromissos, não respeitar os horários, dimensionando inadequada e irrealisticamente o tempo necessário para executar suas atividades, o que provoca atrasos e problemas. Denota não conseguir administrar os processos de forma eficiente não sendo reconhecido(a) no meio em que atua por sua produtividade.
40;14;baixo;0;1;Demonstra não ter necessidade de provar aos outros que é mais competente que eles, pois sabe orientá-los para resolverem seus próprios problemas. Percebe-se ter paciência para esperar a realização das atividades não apressando ou fazendo pelo outro.
41;14;intermediario;2;3;Demonstra aceitar resolver alguns problemas dos outros, e observe se não é por achar que fará melhor que eles.  Percebe-se não ter muita paciência para esperar a realização das atividades, apressando ou fazendo pelo outro.As pessoas podem assumir uma postura de acomodação por perceber que pode fazer por eles. Ficar atento(a) para não cometer o erro de “delegar para cima”, é importante, pois pode gastar parte de seu tempo fazendo alguns trabalhos pelos outros.
42;14;alto;4;6;Revela necessidade de fazer as coisas antes mesmo dos outros, aceitando resolver todos os problemas destes. Parece não saber esperar, não ter paciência para aguardar a realização das atividades, apressando ou fazendo pelo outro e, com o tempo, as pessoas tendem a assumir uma postura de passividade, deixando para você até a realização de atividades rotineiras. 
43;15;baixo;0;1;Apresenta capacidade de se integrar e de estabelecer vínculos de cordialidade com os outros. Há habilidade para interagir com as pessoas de forma empática, inclusive diante de situações conflitantes, demonstrando atitudes positivas, comportamentos maduros e não combativos. Denota boa habilidade para estabelecer vínculos de parceria e afinidade com os demais, fortalecendo o respeito entre eles.
44;15;intermediario;2;3;Apresenta adequada capacidade de se integrar e de estabelecer vínculos de cordialidade com os outros, necessitando interagir com as pessoas de forma mais empática, sabendo se posicionar diante de situações conflitantes, demonstrando atitudes mais positivas e mantendo um comportamento mais maduro. Sua habilidade para estabelecer vínculos de parceria e afinidade com os demais é satisfatória.
45;15;alto;4;6;Demonstra pouca ou nenhuma capacidade de se integrar e de estabelecer vínculos de cordialidade com os outros. Apresenta dificuldade para interagir com as pessoas de forma empática, não sabendo se posicionar diante de situações conflitantes, apresentando atitudes negativas e um comportamento pouco maduro. Possui limitada habilidade para estabelecer vínculos de parceria e afinidade com os demais, necessitando desenvolver mais essa competência.
46;16;baixo;0;1;Sabe identificar o problema, bem como definir os critérios, analisar, escolher alternativas e verificar a eficácia da decisão, tendo capacidade para tomá-la, sem temor de correr riscos. É autoconfiante, não tem medo de errar, e consegue perceber os efeitos negativos do adiamento das decisões. 
47;16;intermediario;2;3;Apresenta certa resistência em tomar decisão, talvez com receio em correr riscos. Leva algum tempo analisando a situação e com isso, pode procrastinar sua solução. Saber identificar melhor o problema, bem como definir os critérios, analisar, escolher alternativas e verificar a eficácia da decisão, é importante. Ficar atento(a) para não tornar esta atitude uma constante em seu dia a dia é relevante.
48;16;alto;4;6;"Indica dificuldade na capacidade de tomar decisão com autoconfiança e proatividade; podendo ser por medo de errar e, por isso, tende a procrastinar, não considerando os efeitos negativos do adiamento das decisões. Saber identificar o problema, bem como definir os critérios, analisar, escolher alternativas e verificar a eficácia da decisão é primordial."
49;17;baixo;0;1;Apresenta habilidade em compartilhar as competências individuais para apoiar os outros da equipe, colaborando espontaneamente e se comunicando abertamente, com clareza e especificidade. Denota saber responder de forma construtiva às ideias e sugestões dos outros e incentivar a participação ativa e a cooperação dentro e fora da equipe, assim como o compartilhamento de informações e o trabalho em parceria.
50;17;intermediario;2;3;Apresenta habilidade em compartilhar as competências individuais para apoiar os outros da equipe, porém, deve colaborar mais espontaneamente e/ou se comunicar mais abertamente. Demonstra saber responder às ideias e sugestões dos outros, incentivando moderadamente a participação ativa e a cooperação dentro e fora da equipe. É preciso desenvolver e incentivar mais o compartilhamento de informações e o trabalho em parceria.
51;17;alto;4;6;Percebe-se inabilidade em compartilhar as competências individuais para apoiar os outros da equipe, deixando de colaborar espontaneamente e não se comunicando abertamente, faltando clareza e transparência. Demonstra ter dificuldade em responder de forma construtiva às ideias e sugestões dos outros, não incentivando a participação ativa e a cooperação dentro e fora da equipe. Parece pouco saber incentivar o compartilhamento de informações e o trabalho em parceria. Denota ter dificuldade para dar e receber feedback.
52;18;baixo;0;1;Apresenta capacidade para perceber a integração e interdependência das partes que compõem o todo, visualizando tendências e possíveis ações capazes de influenciar o futuro. Mostra-se hábil em perceber a interação das partes e para visualizar perspectivas para negócios e/ou atividades. Demonstra conseguir analisar as situações, gerando informações estratégicas antes de tomar decisões. Percebe sua posição na cadeia dos processos internos e as consequências das ações tomadas, orientando-se pela visão de longo prazo. A pressão no trabalho não o faz perder o rendimento.
53;18;intermediario;2;3;Apresenta capacidade para perceber a integração e interdependência das partes que compõem o todo, necessitando, porém, visualizar tendências e possíveis ações capazes de influenciar o futuro. Há necessidade de melhor perceber a interação das partes e visualizar perspectivas para negócios e/ou atividades. Necessita melhor analisar as situações, para gerar informações estratégicas antes da tomada de decisões. É importante perceber sua posição na cadeia dos processos internos e as consequências das ações tomadas, pois, talvez sua orientação seja com visão de curto prazo. A pressão no trabalho pode fazer perder o rendimento.
54;18;alto;4;6;Apresenta dificuldade para perceber a integração e interdependência das partes que compõem o todo, dificultando a visualização das tendências e possíveis ações capazes de influenciar o futuro. Também apresenta dificuldade para perceber a interação das partes e visualizar perspectivas para negócios e/ou atividades. Poderá ter dificuldade para analisar as situações e gerar informações estratégicas antes da tomada de decisões. Possui menor habilidade para perceber sua posição na cadeia dos processos internos e as consequências das ações tomadas, pois sua orientação talvez seja de curto prazo. A pressão no trabalho faz perder o rendimento.
55;19;baixo;0;1;Revela saber utilizar esses recursos enquanto ferramentas auxiliares em sua atuação, não desperdiçando tempo em conversas prolongadas e improdutivas. Demonstra ser objetivo(a).
56;19;intermediario;2;3;Pode perder um tempo significativo com esses recursos por não saber colocar limites ou por manter uma conversa que não acrescentará nada. Este fator merece uma atenção, pois, na constância deste comportamento, a perda de tempo será bem maior. Necessita de mais objetividade.
57;19;alto;4;6;Parece que perde boa parte do seu tempo com recursos que poderiam auxiliá-lo(a) a ser mais produtivo(a). As causas mais comum do uso inadequado desses recursos são prolixidade e/ou falta de filtragem dos assuntos etc. Falta-lhe mais objetividade.
